09/09/17 TX gain 16~32~2, alpha 40, encoding 0~6~2 300s/3s Side channel Encoding 8-PSK
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.48, Side channel BER 51.30, SNR 3.53 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.56, Side channel BER 49.06, SNR 3.67 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 52.81, SNR 3.73 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.89, SNR 4.30 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.10, SNR 3.92 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.02, SNR 3.91 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.42, SNR 4.64 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.26, SNR 3.60 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.65, SNR 4.35 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.90, SNR 4.32 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.43, SNR 4.29 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.84, SNR 4.19 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.46, SNR 4.24 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.21, SNR 4.36 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.66, SNR 3.27 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.48, SNR 3.35 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.21, SNR 4.52 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.99, SNR 3.96 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.40, Side channel BER 49.69, SNR 3.79 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.01, SNR 5.09 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.35, SNR -0.05 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.53, SNR 3.92 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.27, SNR 4.45 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.42, SNR 3.86 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.74, SNR 3.54 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.44, SNR 4.28 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.90, SNR 3.62 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.97, SNR 3.46 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 01.05, Side channel BER 49.79, SNR 3.50 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.21, SNR 3.45 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.97, SNR 3.31 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.22, SNR 3.43 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.74, SNR 4.34 dB
