Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 46.38, SNR 19.34 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 01.27, Side channel BER 51.18, SNR 17.56 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.68, Side channel BER 49.21, SNR 17.44 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.42, SNR 20.06 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 01.23, Side channel BER 50.94, SNR 17.05 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.51, SNR 19.67 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 02.26, Side channel BER 48.43, SNR 15.87 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 52.67, SNR 18.33 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.51, SNR 19.72 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.94, SNR 19.84 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.55, SNR 19.83 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.53, SNR 19.69 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.39, SNR 18.34 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.10, SNR 19.92 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.76, SNR 18.71 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.79, SNR 19.04 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.78, Side channel BER 48.11, SNR 16.96 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.16, Side channel BER 49.37, SNR 18.62 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.41, Side channel BER 48.82, SNR 18.08 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.89, SNR 19.93 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.16, Side channel BER 52.36, SNR 18.75 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 52.28, SNR 19.03 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 02.98, Side channel BER 49.76, SNR 14.90 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.78, Side channel BER 47.72, SNR 17.14 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.08, SNR 19.61 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.41, Side channel BER 48.27, SNR 17.38 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 35.18, Side channel BER 48.11, SNR -9.28 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.90, Side channel BER 50.16, SNR 17.02 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.33, SNR 18.32 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 01.11, Side channel BER 50.94, SNR 17.36 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 03.49, Side channel BER 47.09, SNR 15.70 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.10, SNR 18.08 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.00, SNR 19.40 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.84, SNR 20.29 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 01.58, Side channel BER 50.63, SNR 15.86 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.49, SNR 19.88 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.69, SNR 19.26 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.90, Side channel BER 48.43, SNR 17.09 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.41, SNR 20.00 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.80, Side channel BER 48.66, SNR 17.10 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.76, SNR 18.82 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.66, Side channel BER 51.89, SNR 17.35 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 46.78, SNR 18.84 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.98, SNR 19.86 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.86, Side channel BER 53.46, SNR 17.40 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.16, SNR 18.65 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 01.01, Side channel BER 50.00, SNR 17.75 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.33, Side channel BER 52.52, SNR 17.26 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 03.37, Side channel BER 49.45, SNR 15.77 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 01.23, Side channel BER 50.79, SNR 16.85 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.84, SNR 20.03 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.51, Side channel BER 50.39, SNR 16.60 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.84, SNR 19.48 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.74, SNR 19.11 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.82, Side channel BER 49.53, SNR 16.99 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.71, SNR 18.48 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 52.36, SNR 19.59 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.49, SNR 18.27 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.39, SNR 18.96 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.56, SNR 19.61 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.16, SNR 19.51 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.90, SNR 18.28 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.90, SNR 18.31 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.64, SNR 19.14 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.31, SNR 19.65 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 16.35, SNR 15.02 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.51, SNR 13.75 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 05.74, SNR 14.94 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.10, SNR 14.10 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.69, SNR 13.10 dB
