09/09/15 TX gain 8~30~2, alpha 20~40~10, encoding 0~4~2 120s/2s
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.90, SNR 4.08 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.21, SNR 4.23 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 53.14, SNR 3.70 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.32, Side channel BER 52.67, SNR 1.63 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.08, SNR 3.99 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.69, SNR 2.12 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.66, SNR 4.31 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.21, SNR 4.30 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.14, SNR 4.66 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.24, Side channel BER 49.61, SNR 2.57 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.08, SNR 2.83 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 52.75, SNR 3.66 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.47, SNR 4.32 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.42, SNR 2.99 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.16, SNR 4.14 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.65, Side channel BER 50.16, SNR 3.09 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 46.86, SNR 4.04 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 53.46, SNR 0.57 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.79, SNR 3.80 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.81, SNR 3.05 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.43, SNR 4.04 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.37, SNR 3.73 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.73, SNR 4.47 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.69, SNR 4.29 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.58, SNR 4.04 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.89, Side channel BER 51.97, SNR 4.26 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.63, SNR 4.72 dB
Encoding 4, SN 03007, Symbol length 27, Main channel BER 30.24, Side channel BER 47.96, SNR 2.55 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 39.91, Side channel BER 48.90, SNR 2.90 dB
Encoding 4, SN 00291, Symbol length 27, Main channel BER 39.20, Side channel BER 50.16, SNR 3.79 dB
Encoding 4, SN 01024, Symbol length 27, Main channel BER 35.80, Side channel BER 50.31, SNR 5.34 dB
Encoding 4, SN 00145, Symbol length 27, Main channel BER 20.66, Side channel BER 49.06, SNR 5.74 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 21.29, Side channel BER 47.33, SNR 4.52 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 37.54, Side channel BER 50.71, SNR 4.15 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 22.04, Side channel BER 47.64, SNR 4.96 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 14.91, Side channel BER 50.55, SNR 5.62 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 19.05, Side channel BER 49.14, SNR 5.55 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 27.21, Side channel BER 50.00, SNR 5.01 dB
Encoding 4, SN 03992, Symbol length 27, Main channel BER 19.72, Side channel BER 50.16, SNR 6.13 dB
Encoding 4, SN 03740, Symbol length 27, Main channel BER 29.30, Side channel BER 50.63, SNR 4.75 dB
Encoding 4, SN 03979, Symbol length 27, Main channel BER 41.01, Side channel BER 48.90, SNR 3.95 dB
Encoding 4, SN 00750, Symbol length 27, Main channel BER 27.88, Side channel BER 50.71, SNR 3.81 dB
Encoding 4, SN 03682, Symbol length 27, Main channel BER 14.91, Side channel BER 49.76, SNR 6.30 dB
Encoding 4, SN 02048, Symbol length 27, Main channel BER 43.81, Side channel BER 50.24, SNR -7.89 dB
Encoding 4, SN 02327, Symbol length 27, Main channel BER 26.38, Side channel BER 48.90, SNR 5.48 dB
Encoding 4, SN 00013, Symbol length 27, Main channel BER 31.07, Side channel BER 48.82, SNR 1.46 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 29.65, Side channel BER 48.66, SNR 3.83 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.63, SNR 0.31 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.61, SNR 1.34 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.03, SNR 2.03 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.34, SNR 1.72 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.61, SNR 2.10 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 52.59, SNR 2.24 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.65, SNR 1.69 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 46.93, SNR 1.89 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.31, SNR 2.16 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 40.96, SNR 1.93 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.26, SNR 2.45 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.61, SNR 1.25 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.61, SNR 2.11 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.06, SNR 2.29 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.61, SNR 1.78 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.17, SNR 0.83 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 43.63, SNR 1.79 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.41, SNR 1.24 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.71, SNR 0.33 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.58, SNR 1.68 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.51, SNR 2.34 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.27, SNR 2.43 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.39, SNR 1.80 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.34, SNR -0.33 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.73, SNR 2.49 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.00, SNR 1.74 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.94, SNR 1.90 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.16, SNR 2.00 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 46.54, SNR 1.55 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 52.36, SNR 1.73 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.64, SNR 1.14 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.57, SNR 1.95 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.71, SNR 1.87 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.08, SNR -7.43 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 38.99, SNR 2.06 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.47, SNR 1.99 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.19, SNR 1.94 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.10, SNR 2.62 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.58, SNR 1.95 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.21, SNR 2.14 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.21, SNR 1.01 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.63, SNR 1.60 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 44.50, SNR 1.56 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.74, SNR 2.55 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 52.44, SNR 2.10 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.53, SNR 1.88 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.41, SNR 2.10 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.61, SNR 0.08 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.63, SNR 1.51 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.01, SNR 2.03 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.69, SNR 1.47 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 44.97, SNR 2.55 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 42.22, SNR 2.17 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.29, SNR 1.62 dB
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 43.87, SNR 2.51 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.80, SNR 3.57 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 02.26, Side channel BER 51.73, SNR 3.56 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.40, Side channel BER 48.27, SNR 2.32 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.81, SNR 3.68 dB
Encoding 2, SN 00722, Symbol length 27, Main channel BER 45.56, Side channel BER 48.58, SNR -6.92 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.74, SNR 2.72 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.16, Side channel BER 50.79, SNR 2.51 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 01.29, Side channel BER 48.74, SNR 2.66 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 02.26, Side channel BER 51.10, SNR 1.90 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 52.04, SNR 3.04 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 02.26, Side channel BER 48.98, SNR 1.59 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.90, SNR 2.96 dB
